CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
30040;Blandas;69;139;101,2;;17116,9;;;;;;;;;;;;;;;;;;;;;;
30041;Blauzac;453;1112;744,7;;21694,3;;;;;;;;;;;;;;;;;;;;;;
30042;Boisset-et-Gaujac;991;2495;1647,5;13977,1;18575,2;24610,0;10632,9;10313,0;12818,0;14802,4;17052,0;20655,3;23156,0;26225,3;33596,7;3,3;4,1;0,3;53,8;9,1;33,9;11,4;6,2;2,9;1,8;1,6;-14,4
30043;Boissières;210;559;366,3;;24534,2;;;;;;;;;;;;;;;;;;;;;;
30045;Bordezac;177;366;263,5;;18018,0;;;;;;;;;;;;;;;;;;;;;;
30046;Boucoiran-et-Nozières;368;917;606,5;;16795,2;;;;;;;;;;;;;;;;;;;;;;
30047;Bouillargues;2517;6440;4264,4;15790,9;21069,1;27418,0;11627,1;11497,5;14601,4;17093,0;19014,7;23217,7;25844,5;29459,0;35973,3;3,1;3,6;0,2;65,1;7,8;30,0;9,5;4,5;2,3;1,2;1,0;-16,9
30048;Bouquet;84;174;125,6;;19366,3;;;;;;;;;;;;;;;;;;;;;;
30049;Bourdic;143;376;246,3;;19621,8;;;;;;;;;;;;;;;;;;;;;;
30050;Bragassargues;64;151;102,5;;20535,3;;;;;;;;;;;;;;;;;;;;;;
30051;Branoux-les-Taillades;591;1354;932,2;;17640,0;;;;;;;;;;;;;;;;;;;;;;
30052;Bréau-et-Salagosse;188;400;281,8;;17606,5;;;;;;;;;;;;;;;;;;;;;;
30053;Brignon;325;765;515,7;;17721,9;;;;;;;;;;;;;;;;;;;;;;
30054;Brouzet-lès-Quissac;109;267;178,2;;18967,2;;;;;;;;;;;;;;;;;;;;;;
30055;Brouzet-lès-Alès;287;643;445,6;;19591,2;;;;;;;;;;;;;;;;;;;;;;
30056;La Bruguière;124;311;207,2;;19933,0;;;;;;;;;;;;;;;;;;;;;;
30057;Cabrières;602;1515;1003,2;;20662,9;;;;;;;;;;;;;;;;;;;;;;
30058;La Cadière-et-Cambo;96;219;152,3;;15921,0;;;;;;;;;;;;;;;;;;;;;;
30059;Le Cailar;1037;2514;1699,9;15428,4;20494,7;26326,5;10898,1;11740,7;14477,0;16521,3;18685,7;22457,0;24930,0;28094,3;33502,7;2,9;3,4;0,2;64,9;7,5;29,8;9,0;4,0;1,6;1,5;0,9;-15,2
30060;Caissargues;1754;4248;2865,8;16780,0;21867,5;28231,0;11451,0;12566,7;15424,2;17858,7;19874,0;24108,3;26634,4;29828,7;35990,0;2,9;3,4;0,2;60,5;4,8;36,0;12,0;4,0;2,0;1,0;1,0;-17,3
30061;La Calmette;903;2129;1451,0;14229,0;19104,7;25006,7;10777,7;10142,0;13043,3;15407,8;17452,0;21114,0;23435,0;26325,0;30826,0;3,0;3,5;0,2;63,3;3,0;33,3;9,1;5,0;2,2;1,4;1,4;-13,7
30062;Calvisson;2182;5526;3645,2;15934,8;21242,0;27976,9;12042,1;11137,8;14440,9;17062,0;18954,0;23553,0;26326,1;29900,0;35690,4;3,2;3,8;0,3;69,6;5,6;27,0;9,7;4,6;2,3;1,1;1,1;-16,5
30064;Campestre-et-Luc;61;99;78,0;;14813,3;;;;;;;;;;;;;;;;;;;;;;
30065;Canaules-et-Argentières;159;383;262,1;;16938,5;;;;;;;;;;;;;;;;;;;;;;
30066;Cannes-et-Clairan;212;531;350,3;;19163,4;;;;;;;;;;;;;;;;;;;;;;
30067;La Capelle-et-Masmolène;191;437;300,2;;18671,9;;;;;;;;;;;;;;;;;;;;;;
30068;Cardet;355;868;585,5;;16692,3;;;;;;;;;;;;;;;;;;;;;;
30069;Carnas;195;476;317,3;;18740,0;;;;;;;;;;;;;;;;;;;;;;
30070;Carsan;265;695;458,5;;21319,6;;;;;;;;;;;;;;;;;;;;;;
30071;Cassagnoles;165;392;263,6;;21434,0;;;;;;;;;;;;;;;;;;;;;;
30072;Castelnau-Valence;164;434;280,8;;18763,2;;;;;;;;;;;;;;;;;;;;;;
30073;Castillon-du-Gard;625;1556;1032,9;;21404,4;;;;;;;;;;;;;;;;;;;;;;
30075;Caveirac;1616;4042;2719,3;17487,1;22975,3;30457,0;12969,9;13277,3;16271,3;18776,1;20855,3;25679,3;28855,4;32589,5;39994,5;3,0;3,7;0,3;64,0;6,0;33,1;12,8;3,0;1,4;0,9;0,7;-18,9
30076;Cavillargues;360;841;576,6;;20288,1;;;;;;;;;;;;;;;;;;;;;;
30077;Cendras;838;1809;1270,3;;16211,7;;;;;;;;;;;;;;;;;;;;;;
30079;Chambon;129;252;185,8;;18475,6;;;;;;;;;;;;;;;;;;;;;;
30080;Chamborigaud;332;614;460,1;;17193,5;;;;;;;;;;;;;;;;;;;;;;
30081;Chusclan;419;970;668,6;;22396,8;;;;;;;;;;;;;;;;;;;;;;
30082;Clarensac;1592;4292;2782,0;16823,0;21663,0;27658,1;10835,1;12340,0;15470,0;17844,8;19675,0;23750,0;26044,0;29358,1;35032,2;2,8;3,4;0,2;72,4;5,4;26,5;7,8;4,3;2,3;1,0;0,9;-16,4
30083;Codognan;996;2489;1661,7;16317,8;20992,1;27289,3;10971,6;12625,2;15370,0;17495,3;19116,0;23284,8;25752,0;29454,0;35085,3;2,8;3,5;0,2;70,9;7,4;26,7;7,5;3,7;1,9;1,0;0,8;-16,2
30084;Codolet;266;665;439,3;;19145,8;;;;;;;;;;;;;;;;;;;;;;
30085;Collias;478;1111;755,0;;19655,3;;;;;;;;;;;;;;;;;;;;;;
30086;Collorgues;234;599;393,7;;19409,7;;;;;;;;;;;;;;;;;;;;;;
30087;Colognac;102;216;152,6;;18543,5;;;;;;;;;;;;;;;;;;;;;;
30088;Combas;269;626;427,5;;19752,7;;;;;;;;;;;;;;;;;;;;;;
30089;Comps;650;1681;1108,6;;20441,3;;;;;;;;;;;;;;;;;;;;;;
