CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
34244;Saint-Brès;1186;2893;1945,2;16266;21554;28233;11968;12025;14934;17201;19213;23401;26173;30326;35401;2,9;3,444;0,242;78,1;68,7;4,0;5,5;25,5;8,7;4,7;1,9;1,6;1,2;-17,0
34245;Saint-Chinian;831;1663;1204,9;;17228;;;;;;;;;;;;;;;;;;;;;;;;
34246;Saint-Christol;555;1341;907,8;;21984;;;;;;;;;;;;;;;;;;;;;;;;
34247;Saint-Clément-de-Rivière;1919;4603;3153,0;23559;32570;42908;19349;16607;21863;25366;29089;36196;40594;46243;59055;3,6;4,396;0,287;68,7;55,4;2,2;11,1;39,3;14,8;1,5;0,6;0,5;0,4;-24,3
34248;Sainte-Croix-de-Quintillargues;290;874;544,6;;24278;;;;;;;;;;;;;;;;;;;;;;;;
34249;Saint-Drézéry;942;2587;1677,6;17973;24203;31893;13920;14062;16715;19468;21870;26746;29797;33428;39670;2,8;3,530;0,250;79,0;70,3;3,8;5,0;24,6;11,6;3,5;1,9;1,0;0,6;-18,7
34250;Saint-Étienne-d'Albagnan;149;306;220,9;;16721;;;;;;;;;;;;;;;;;;;;;;;;
34251;Saint-Étienne-de-Gourgas;201;483;323,3;;19451;;;;;;;;;;;;;;;;;;;;;;;;
34252;Saint-Étienne-Estréchoux;134;264;194,6;;17241;;;;;;;;;;;;;;;;;;;;;;;;
34254;Saint-Félix-de-Lodez;454;1163;765,7;;20806;;;;;;;;;;;;;;;;;;;;;;;;
34255;Saint-Gély-du-Fesc;3926;10000;6663,5;20444;27207;36870;16426;15022;19035;21776;24316;30551;34301;39465;50059;3,3;4,274;0,292;78,3;63,8;2,1;12,3;28,5;12,9;2,2;1,2;0,6;0,4;-21,9
34256;Saint-Geniès-des-Mourgues;774;1912;1280,7;;24821;;;;;;;;;;;;;;;;;;;;;;;;
34257;Saint-Geniès-de-Varensal;68;122;91,8;;17576;;;;;;;;;;;;;;;;;;;;;;;;
34258;Saint-Geniès-de-Fontedit;664;1606;1079,7;;19675;;;;;;;;;;;;;;;;;;;;;;;;
34259;Saint-Georges-d'Orques;2106;5260;3509,9;16871;23110;30836;13965;12866;15596;18106;20515;25570;28896;33463;41050;3,2;3,994;0,278;76,0;63,3;3,4;9,4;29,6;10,2;4,1;1,8;1,3;1,0;-19,9
34260;Saint-Gervais-sur-Mare;423;744;567,9;;16856;;;;;;;;;;;;;;;;;;;;;;;;
34261;Saint-Guilhem-le-Désert;122;229;171,2;;18384;;;;;;;;;;;;;;;;;;;;;;;;
34262;Saint-Guiraud;90;209;142,5;;21626;;;;;;;;;;;;;;;;;;;;;;;;
34263;Saint-Hilaire-de-Beauvoir;159;422;274,9;;22469;;;;;;;;;;;;;;;;;;;;;;;;
34264;Saint-Jean-de-Buèges;93;181;131,6;;19169;;;;;;;;;;;;;;;;;;;;;;;;
34265;Saint-Jean-de-Cornies;250;749;473,4;;24122;;;;;;;;;;;;;;;;;;;;;;;;
34266;Saint-Jean-de-Cuculles;180;495;321,9;;26035;;;;;;;;;;;;;;;;;;;;;;;;
34267;Saint-Jean-de-Fos;712;1685;1143,3;;19131;;;;;;;;;;;;;;;;;;;;;;;;
34268;Saint-Jean-de-la-Blaquière;258;637;423,9;;18659;;;;;;;;;;;;;;;;;;;;;;;;
34269;Saint-Jean-de-Minervois;72;144;106,4;;17613;;;;;;;;;;;;;;;;;;;;;;;;
34270;Saint-Jean-de-Védas;4109;10187;6833,4;18074;24137;32649;14575;13299;16560;19283;21625;26962;30460;35302;44458;3,3;4,060;0,275;75,7;63,5;3,0;9,2;28,1;12,5;3,4;1,5;1,1;0,8;-19,7
34271;Saint-Julien;104;215;153,6;;16720;;;;;;;;;;;;;;;;;;;;;;;;
34272;Saint-Just;1242;3320;2152,8;15596;20942;27059;11463;11670;14494;16804;18953;23046;25343;28847;34163;2,9;3,549;0,248;79,2;69,0;4,1;6,1;22,6;9,1;4,9;2,4;1,4;1,1;-15,8
34273;Saint-Martin-de-l'Arçon;67;134;97,6;;20054;;;;;;;;;;;;;;;;;;;;;;;;
34274;Saint-Martin-de-Londres;1090;2691;1786,7;16818;22002;28661;11843;12373;15348;17783;19684;24104;27224;31029;37142;3,0;3,455;0,244;75,3;66,1;2,9;6,3;26,8;10,0;4,8;2,1;1,6;1,0;-16,9
34276;Saint-Mathieu-de-Tréviers;1796;4763;3115,5;17448;22220;29041;11593;12880;16077;18576;20283;24626;27628;30818;37714;2,9;3,496;0,243;79,6;71,2;2,9;5,5;24,0;9,0;4,5;2,3;1,2;1,0;-17,1
34277;Saint-Maurice-Navacelles;89;190;134,1;;15301;;;;;;;;;;;;;;;;;;;;;;;;
34279;Saint-Nazaire-de-Ladarez;163;343;241,9;;16067;;;;;;;;;;;;;;;;;;;;;;;;
34280;Saint-Nazaire-de-Pézan;247;598;400,8;;19554;;;;;;;;;;;;;;;;;;;;;;;;
34281;Saint-Pargoire;895;2241;1476,3;14325;18599;24053;9728;10232;13334;15304;16973;20791;22876;25502;30119;2,9;3,482;0,242;71,2;60,5;4,3;6,5;28,9;7,3;6,0;2,7;1,9;1,4;-13,4
34282;Saint-Paul-et-Valmalle;432;1132;739,9;;22416;;;;;;;;;;;;;;;;;;;;;;;;
34283;Saint-Pierre-de-la-Fage;58;120;87,0;;17786;;;;;;;;;;;;;;;;;;;;;;;;
34284;Saint-Pons-de-Thomières;825;1648;1191,6;;16083;;;;;;;;;;;;;;;;;;;;;;;;
34285;Saint-Pons-de-Mauchiens;273;622;427,4;;18444;;;;;;;;;;;;;;;;;;;;;;;;
34286;Saint-Privat;177;384;267,7;;16387;;;;;;;;;;;;;;;;;;;;;;;;
34287;Saint-Saturnin-de-Lucian;116;274;185,6;;19403;;;;;;;;;;;;;;;;;;;;;;;;
34288;Saint-Sériès;376;980;643,1;;24656;;;;;;;;;;;;;;;;;;;;;;;;
34289;Saint-Thibéry;1215;2869;1945,0;13481;17949;22150;8669;9944;12500;14364;16345;19481;21118;23628;28768;2,9;3,337;0,234;67,2;56,0;5,0;6,2;30,0;7,5;7,9;3,1;2,8;2,0;-12,6
34290;Saint-Vincent-de-Barbeyrargues;274;719;476,1;;26772;;;;;;;;;;;;;;;;;;;;;;;;
34291;Saint-Vincent-d'Olargues;177;328;247,1;;17517;;;;;;;;;;;;;;;;;;;;;;;;
34292;Salasc;139;316;220,3;;20032;;;;;;;;;;;;;;;;;;;;;;;;
34293;La Salvetat-sur-Agout;527;1025;754,6;;19319;;;;;;;;;;;;;;;;;;;;;;;;
34294;Saturargues;370;967;634,7;;20890;;;;;;;;;;;;;;;;;;;;;;;;
34295;Saussan;610;1621;1059,7;;23983;;;;;;;;;;;;;;;;;;;;;;;;
34296;Saussines;389;1001;657,8;;22287;;;;;;;;;;;;;;;;;;;;;;;;
34297;Sauteyrargues;151;386;254,9;;22380;;;;;;;;;;;;;;;;;;;;;;;;
34298;Sauvian;2268;5547;3718,8;14917;19981;26159;11242;10980;13775;15992;18058;22107;24762;27821;33083;3,0;3,753;0,261;63,7;53,2;3,8;6,7;36,7;9,6;5,5;2,3;1,8;1,4;-15,5
34299;Sérignan;3287;7136;5038,1;14538;19751;26122;11584;10604;13306;15639;17632;21919;24548;28091;34959;3,3;3,952;0,270;53,6;43,3;3,6;6,7;44,7;12,4;5,1;1,6;2,0;1,4;-15,8
34300;Servian;1977;4877;3252,7;14122;19174;24790;10668;10646;13116;15181;16887;21374;23589;26291;31312;2,9;3,592;0,251;69,7;57,6;4,2;7,8;30,0;8,3;6,5;2,8;2,2;1,4;-14,5
34301;Sète;22129;43190;31498,8;12549;17635;24538;11989;9102;11514;13500;15497;19992;22825;26701;33874;3,7;4,648;0,304;54,4;43,3;4,2;7,0;42,6;11,3;8,6;2,0;3,9;2,7;-16,9
